#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2026-01-09, 14:35:14
# Real time (s): 11823.350
# Live time (s): 11028.830
#
# Total counts:  59919795
#
# Left marker:  20 (4.751 keV)
# Right marker: 50 (12.067 keV)
# Counts:       1129086
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -0.126274
#     A1: 0.243864
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
287	69.863	10682	0.968552
288	70.107	10747	0.974446
289	70.351	11038	1.00083
290	70.594	11061	1.00292
291	70.838	11254	1.02042
292	71.082	11346	1.02876
293	71.326	11019	0.999109
294	71.570	10995	0.996933
295	71.814	10680	0.968371
296	72.058	10278	0.931921
297	72.301	10125	0.918048
298	72.545	9880	0.895834
299	72.789	9915	0.899007
300	73.033	9771	0.885951
301	73.277	9659	0.875796
302	73.521	9896	0.897285
303	73.765	9608	0.871171
304	74.009	9574	0.868088
305	74.252	9373	0.849863
306	74.496	9181	0.832455
307	74.740	9031	0.818854
308	74.984	9009	0.816859
309	75.228	9033	0.819035
310	75.472	9143	0.829009
311	75.716	8970	0.813323
312	75.959	9001	0.816134
313	76.203	9152	0.829825
314	76.447	9279	0.84134
315	76.691	9201	0.834268
316	76.935	9345	0.847325
317	77.179	9385	0.850952
318	77.423	9632	0.873347
319	77.666	9347	0.847506
320	77.910	9436	0.855576
321	78.154	9292	0.842519
322	78.398	9831	0.891391
323	78.642	10451	0.947607
324	78.886	11591	1.05097
325	79.130	13835	1.25444
326	79.374	16998	1.54123
327	79.617	21777	1.97455
328	79.861	29801	2.7021
329	80.105	43293	3.92544
330	80.349	62155	5.63568
331	80.593	85053	7.71188
332	80.837	106249	9.63375
333	81.081	119855	10.8674
334	81.324	117290	10.6349
335	81.568	101778	9.22836
336	81.812	77577	7.03402
337	82.056	52706	4.77893
338	82.300	33134	3.00431
339	82.544	20419	1.85142
340	82.788	13529	1.22669
341	83.032	10580	0.959304
342	83.275	9501	0.861469
343	83.519	9478	0.859384
344	83.763	9561	0.86691
345	84.007	9822	0.890575
346	84.251	9794	0.888036
347	84.495	9906	0.898191
348	84.739	9885	0.896287
349	84.982	9590	0.869539
350	85.226	9591	0.86963
351	85.470	9503	0.861651
352	85.714	9555	0.866366
353	85.958	9551	0.866003
354	86.202	10459	0.948333
355	86.446	11985	1.0867
356	86.689	16255	1.47386
357	86.933	25283	2.29245
358	87.177	41013	3.71871
359	87.421	62955	5.70822
360	87.665	89534	8.11818
361	87.909	112090	10.1634
362	88.153	124307	11.2711
363	88.397	121537	11.0199
364	88.640	103290	9.36545
365	88.884	77524	7.02921
366	89.128	51690	4.68681
367	89.372	32086	2.90928
368	89.616	19556	1.77317
369	89.860	13114	1.18907
370	90.104	9957	0.902816
371	90.347	8791	0.797093
372	90.591	8434	0.764723
373	90.835	8396	0.761277
374	91.079	8294	0.752029
