#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2025-12-17, 10:49:09
# Real time (s): 12351.430
# Live time (s): 12032.110
#
# Total counts:  23907440
#
# Left marker:  20 (4.751 keV)
# Right marker: 50 (12.067 keV)
# Counts:       455452
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -0.126274
#     A1: 0.243864
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
284	69.131	4704	0.390954
285	69.375	4915	0.40849
286	69.619	4674	0.388461
287	69.863	4735	0.39353
288	70.107	4777	0.397021
289	70.351	4906	0.407742
290	70.594	4970	0.413061
291	70.838	4878	0.405415
292	71.082	4996	0.415222
293	71.326	4895	0.406828
294	71.570	4835	0.401841
295	71.814	4659	0.387214
296	72.058	4719	0.392201
297	72.301	4514	0.375163
298	72.545	4623	0.384222
299	72.789	4442	0.369179
300	73.033	4614	0.383474
301	73.277	4562	0.379152
302	73.521	4489	0.373085
303	73.765	4342	0.360868
304	74.009	4464	0.371007
305	74.252	4327	0.359621
306	74.496	4496	0.373667
307	74.740	4333	0.36012
308	74.984	4354	0.361865
309	75.228	4297	0.357128
310	75.472	4306	0.357876
311	75.716	4164	0.346074
312	75.959	4157	0.345492
313	76.203	4156	0.345409
314	76.447	3958	0.328953
315	76.691	4034	0.33527
316	76.935	3976	0.330449
317	77.179	3951	0.328371
318	77.423	4066	0.337929
319	77.666	4023	0.334355
320	77.910	3943	0.327706
321	78.154	4075	0.338677
322	78.398	4349	0.361449
323	78.642	4516	0.375329
324	78.886	5070	0.421372
325	79.130	5965	0.495757
326	79.374	7347	0.610616
327	79.617	8801	0.731459
328	79.861	11788	0.979712
329	80.105	16439	1.36626
330	80.349	24783	2.05974
331	80.593	35046	2.91271
332	80.837	45627	3.7921
333	81.081	51074	4.24481
334	81.324	50195	4.17175
335	81.568	41958	3.48717
336	81.812	30527	2.53713
337	82.056	19832	1.64826
338	82.300	12026	0.999492
339	82.544	7235	0.601308
340	82.788	5140	0.42719
341	83.032	4389	0.364774
342	83.275	4055	0.337015
343	83.519	3999	0.332361
344	83.763	4159	0.345658
345	84.007	4162	0.345908
346	84.251	4187	0.347986
347	84.495	4249	0.353138
348	84.739	4177	0.347154
349	84.982	4215	0.350313
350	85.226	4170	0.346573
351	85.470	4126	0.342916
352	85.714	3962	0.329286
353	85.958	4096	0.340422
354	86.202	4220	0.350728
355	86.446	4610	0.383141
356	86.689	5847	0.48595
357	86.933	8717	0.724478
358	87.177	14241	1.18358
359	87.421	22860	1.89992
360	87.665	33359	2.7725
361	87.909	42919	3.56704
362	88.153	47745	3.96813
363	88.397	45552	3.78587
364	88.640	38143	3.1701
365	88.884	27493	2.28497
366	89.128	17927	1.48993
367	89.372	10607	0.881558
368	89.616	6797	0.564905
369	89.860	4936	0.410236
370	90.104	4097	0.340506
371	90.347	4061	0.337514
372	90.591	3937	0.327208
373	90.835	3802	0.315988
374	91.079	4005	0.332859
375	91.323	3922	0.325961
376	91.567	3939	0.327374
377	91.811	3938	0.327291
378	92.055	3906	0.324631
379	92.298	3955	0.328704
380	92.542	3921	0.325878
381	92.786	4045	0.336184
382	93.030	3846	0.319645
383	93.274	4010	0.333275
384	93.518	3877	0.322221
385	93.762	4036	0.335436
386	94.005	3914	0.325296
387	94.249	3881	0.322554
388	94.493	3918	0.325629
389	94.737	3762	0.312663
390	94.981	3924	0.326127
391	95.225	3869	0.321556
392	95.469	3835	0.31873
393	95.712	3829	0.318232
394	95.956	3880	0.32247
395	96.200	3914	0.325296
396	96.444	3842	0.319312
397	96.688	3859	0.320725
398	96.932	3809	0.31657
399	97.176	3961	0.329202
400	97.420	3807	0.316403
401	97.663	3791	0.315074
402	97.907	3800	0.315822
403	98.151	3864	0.321141
404	98.395	3891	0.323385
405	98.639	3858	0.320642
406	98.883	3800	0.315822
407	99.127	4107	0.341337
408	99.370	4024	0.334438
409	99.614	3946	0.327956
410	99.858	3874	0.321972
