#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2025-12-18, 14:04:24
# Real time (s): 78365.930
# Live time (s): 77359.070
#
# Total counts:  73932277
#
# Left marker:  20 (4.751 keV)
# Right marker: 50 (12.067 keV)
# Counts:       1403125
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -0.126274
#     A1: 0.243864
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
468	114.002	12122	0.156698
469	114.246	12055	0.155832
470	114.490	12328	0.159361
471	114.734	12035	0.155573
472	114.978	12151	0.157073
473	115.222	12331	0.1594
474	115.465	12420	0.16055
475	115.709	12504	0.161636
476	115.953	12475	0.161261
477	116.197	12428	0.160653
478	116.441	12404	0.160343
479	116.685	12453	0.160977
480	116.929	12297	0.15896
481	117.173	12287	0.158831
482	117.416	12368	0.159878
483	117.660	12231	0.158107
484	117.904	12259	0.158469
485	118.148	12054	0.155819
486	118.392	12098	0.156388
487	118.636	12136	0.156879
488	118.880	12317	0.159219
489	119.123	12300	0.158999
490	119.367	12096	0.156362
491	119.611	12231	0.158107
492	119.855	12291	0.158882
493	120.099	12694	0.164092
494	120.343	14052	0.181646
495	120.587	18269	0.236158
496	120.831	29877	0.386212
497	121.074	53632	0.693287
498	121.318	96962	1.2534
499	121.562	159808	2.0658
500	121.806	227820	2.94497
501	122.050	282038	3.64583
502	122.294	299686	3.87396
503	122.538	274976	3.55454
504	122.781	215061	2.78004
505	123.025	146444	1.89304
506	123.269	87274	1.12817
507	123.513	47471	0.613645
508	123.757	26133	0.337814
509	124.001	16150	0.208767
510	124.245	12504	0.161636
511	124.488	11167	0.144353
512	124.732	10943	0.141457
513	124.976	10866	0.140462
514	125.220	10935	0.141354
515	125.464	10868	0.140488
516	125.708	10777	0.139311
517	125.952	10852	0.140281
518	126.196	10765	0.139156
519	126.439	10826	0.139945
520	126.683	10857	0.140346
521	126.927	11036	0.142659
522	127.171	10788	0.139454
523	127.415	10570	0.136636
524	127.659	10839	0.140113
525	127.903	10678	0.138032
526	128.146	10729	0.138691
527	128.390	10486	0.13555
528	128.634	10647	0.137631
529	128.878	10648	0.137644
530	129.122	10684	0.138109
531	129.366	10494	0.135653
532	129.610	10687	0.138148
533	129.853	10553	0.136416
534	130.097	10583	0.136804
535	130.341	10501	0.135744
536	130.585	10416	0.134645
537	130.829	10566	0.136584
538	131.073	10566	0.136584
539	131.317	10466	0.135291
540	131.561	10592	0.13692
541	131.804	10440	0.134955
542	132.048	10120	0.130819
543	132.292	10466	0.135291
544	132.536	10429	0.134813
545	132.780	10383	0.134218
546	133.024	10291	0.133029
547	133.268	10518	0.135963
548	133.511	10480	0.135472
549	133.755	10517	0.13595
550	133.999	10378	0.134154
551	134.243	10592	0.13692
552	134.487	10389	0.134296
553	134.731	10575	0.1367
554	134.975	11043	0.14275
555	135.219	12347	0.159606
556	135.462	14837	0.191794
557	135.706	19672	0.254295
558	135.950	26525	0.342882
559	136.194	34849	0.450484
560	136.438	41961	0.542419
561	136.682	44488	0.575084
562	136.926	42470	0.548998
563	137.169	36180	0.467689
564	137.413	27692	0.357967
565	137.657	20312	0.262568
566	137.901	15326	0.198115
567	138.145	12343	0.159555
568	138.389	10995	0.142129
569	138.633	10483	0.135511
570	138.876	10369	0.134037
571	139.120	10195	0.131788
572	139.364	10232	0.132266
573	139.608	10337	0.133624
574	139.852	10282	0.132913
575	140.096	10490	0.135601
576	140.340	10193	0.131762
577	140.584	10225	0.132176
578	140.827	10338	0.133637
579	141.071	10286	0.132964
580	141.315	10384	0.134231
581	141.559	10271	0.13277
582	141.803	10425	0.134761
583	142.047	10443	0.134994
584	142.291	10397	0.134399
585	142.534	10380	0.134179
586	142.778	10464	0.135265
587	143.022	10506	0.135808
588	143.266	10604	0.137075
589	143.510	10580	0.136765
590	143.754	10558	0.13648
591	143.998	10582	0.136791
592	144.242	10531	0.136131
593	144.485	10744	0.138885
594	144.729	10519	0.135976
595	144.973	10620	0.137282
596	145.217	10764	0.139143
597	145.461	10495	0.135666
598	145.705	10632	0.137437
599	145.949	10792	0.139505
600	146.192	10590	0.136894
601	146.436	10706	0.138394
602	146.680	10570	0.136636
603	146.924	10659	0.137786
604	147.168	10855	0.14032
605	147.412	10467	0.135304
606	147.656	10518	0.135963
607	147.899	10543	0.136287
608	148.143	10502	0.135757
609	148.387	10655	0.137734
610	148.631	10694	0.138238
611	148.875	10680	0.138058
612	149.119	10688	0.138161
613	149.363	10562	0.136532
614	149.607	10752	0.138988
615	149.850	10544	0.136299
616	150.094	10944	0.14147
617	150.338	10785	0.139415
618	150.582	10797	0.13957
619	150.826	10663	0.137838
620	151.070	10939	0.141406
621	151.314	10891	0.140785
622	151.557	10739	0.13882
623	151.801	10777	0.139311
624	152.045	10715	0.13851
625	152.289	10784	0.139402
626	152.533	10726	0.138652
627	152.777	10695	0.138251
628	153.021	10814	0.13979
629	153.264	10630	0.137411
630	153.508	10798	0.139583
631	153.752	10692	0.138213
632	153.996	10486	0.13555
633	154.240	10671	0.137941
634	154.484	10622	0.137308
635	154.728	10699	0.138303
636	154.972	10816	0.139816
637	155.215	10546	0.136325
